Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2120447.26,70.14993285,9999.475,,,0.00282778674456235,6.00144793465164E-5,,,,,,,,,5,125,0,6.49999994784594,0.0755307589122187,5.3725312326321E-5,4374,0,70.0352173,70.2646484,9999.475,9999.475,-0.039649849934578,72.04085,,,,,,,,,,,,,,,,,,,,,,,70.14993285
,2120599.42,75.1485634,9999.475,,,0.0027349753967114,5.93209276022729E-5,,,,,,,,,5,125,0,7.04699959605932,0.0755307589122187,5.31024913289554E-5,4374,0,75.0315399,75.2655869,9999.475,9999.475,-0.0359745796491085,77.24085,,,,,,,,,,,,,,,,,,,,,,,75.1485634
,2120752.41,80.16786575,9999.475,,,0.00268233721871838,6.04702506064477E-5,,,,,,,,,5,125,0,7.42200007662177,0.0755307589122187,5.27369740578218E-5,4374,0,80.0487976,80.2869339,9999.475,9999.475,-0.0411737355694923,82.5892,,,,,,,,,,,,,,,,,,,,,,,80.16786575
,2120904.27,85.16324235,9999.475,,,0.00259047428706669,6.16654842457489E-5,,,,,,,,,5,125,0,7.64099971856922,0.0755307589122187,5.23575329154152E-5,4374,0,85.0444031,85.2820816,9999.475,9999.475,-0.0390015680134368,87.7679,,,,,,,,,,,,,,,,,,,,,,,85.16324235
,2121056.64,90.1866188,9999.475,,,0.00251083553532715,6.07087340858458E-5,,,,,,,,,5,125,0,7.29700012598187,0.0755307589122187,5.20111924677814E-5,4374,0,90.0697632,90.3034744,9999.475,9999.475,-0.0396833350621674,93.04265,,,,,,,,,,,,,,,,,,,,,,,90.1866188
,2121207.09,95.1618767,9999.475,,,0.0024501339036401,6.29322860515145E-5,,,,,,,,,5,125,0,6.87499979976565,0.0755307589122187,5.17703124826783E-5,4374,0,95.0473938,95.2763596,9999.475,9999.475,-0.0460706123380847,98.16875,,,,,,,,,,,,,,,,,,,,,,,95.1618767
,2121359.72,100.1916313,9999.475,,,0.00239644907085402,6.22730144452971E-5,,,,,,,,,5,125,0,6.73399963416159,0.0755307589122187,5.11658912546052E-5,4374,0,100.0784607,100.3048019,9999.475,9999.475,-0.0394975186141755,103.4221,,,,,,,,,,,,,,,,,,,,,,,100.1916313
,2121510.87,105.180706,9999.475,,,0.00232363722662041,5.90380191614522E-5,,,,,,,,,5,125,0,6.99999975040555,0.0755307589122187,5.05223556033551E-5,4374,0,105.0711441,105.2902679,9999.475,9999.475,-0.0313795787899765,108.58195,,,,,,,,,,,,,,,,,,,,,,,105.180706
,2121662.73,110.18368145,9999.475,,,0.00228096164603831,6.27441963392481E-5,,,,,,,,,5,125,0,6.84299999848008,0.0755307589122187,5.04374913890565E-5,4374,0,110.0670242,110.3003387,9999.475,9999.475,-0.0470381255222652,113.8426,,,,,,,,,,,,,,,,,,,,,,,110.18368145
,2121813.93,115.1651955,9999.475,,,0.00222058054497473,6.31284357875808E-5,,,,,,,,,5,125,0,6.92200027406216,0.0755307589122187,5.00512512657142E-5,4374,0,115.0558167,115.2745743,9999.475,9999.475,-0.0467797439213366,119.07475,,,,,,,,,,,,,,,,,,,,,,,115.1651955
